t,detect_pct,jitter_px,drift_px,sharp,bright,exposure_us,gain
1525.42,41.7,25.681,261.8,217,99.7,2000,8.0
1526.45,25.0,26.392,195.9,217,100.5,2000,8.0
1527.49,0.0,26.392,195.9,275,107.0,2000,8.0
1528.50,0.0,26.392,195.9,248,105.3,2000,8.0
1529.57,0.0,26.392,195.9,213,101.8,2000,8.0
1530.65,0.0,26.392,195.9,216,105.5,2000,8.0
1531.68,0.0,26.392,195.9,217,108.5,2000,8.0
1532.69,0.0,26.392,195.9,215,109.3,2000,8.0
1533.71,0.0,26.392,195.9,215,108.7,2000,8.0
1534.73,75.0,27.420,258.7,202,110.1,2000,8.0
1535.76,41.7,29.079,245.4,202,110.9,2000,8.0
1536.80,0.0,29.079,245.4,211,107.0,2000,8.0
1537.85,41.7,33.103,137.8,229,105.0,2000,8.0
1538.91,41.7,28.681,235.1,208,109.2,2000,8.0
1539.92,8.3,28.812,186.7,199,112.0,2000,8.0
1540.94,25.0,29.780,246.2,199,114.0,2000,8.0
1542.00,7.7,30.453,424.8,194,119.4,2000,8.0
1543.06,7.7,37.318,720.4,208,105.4,2000,8.0
1544.09,25.0,50.622,360.9,223,103.8,2000,8.0
1545.14,91.7,50.794,268.1,226,110.2,2000,8.0
1546.19,50.0,50.747,262.2,233,105.3,2000,8.0
1547.25,25.0,49.138,101.9,212,97.9,2000,8.0
1548.29,16.7,49.316,144.0,218,101.9,2000,8.0
1549.33,0.0,49.316,144.0,217,103.5,2000,8.0
1550.42,91.7,47.700,267.5,241,104.1,2000,8.0
1551.43,100.0,43.557,274.3,249,104.1,2000,8.0
1552.47,100.0,35.783,525.7,251,104.1,2000,8.0
1553.51,100.0,7.466,244.1,249,104.0,2000,8.0
1554.54,100.0,5.459,92.2,247,103.7,2000,8.0
1555.56,100.0,0.340,1.7,246,103.6,2000,8.0
1556.59,100.0,0.142,0.5,245,103.4,2000,8.0
1557.64,100.0,0.150,0.4,245,103.5,2000,8.0
1558.67,100.0,0.151,0.6,244,103.7,2000,8.0
1559.69,100.0,0.149,0.2,246,103.7,2000,8.0
1560.72,100.0,0.143,0.2,246,103.8,2000,8.0
1561.77,100.0,0.137,0.1,247,104.0,2000,8.0
1562.80,100.0,0.142,0.2,247,103.9,2000,8.0
1563.83,100.0,0.133,0.4,246,103.8,2000,8.0
1564.87,100.0,0.127,0.2,248,104.0,2000,8.0
1565.95,100.0,0.126,0.1,247,104.0,2000,8.0
1566.96,100.0,0.128,0.1,247,104.0,2000,8.0
1567.99,100.0,0.121,0.3,247,104.0,2000,8.0
1569.02,100.0,0.123,0.2,248,104.1,2000,8.0
1570.05,100.0,0.126,0.1,247,104.1,2000,8.0
1571.12,100.0,0.123,0.2,247,104.1,2000,8.0
1572.17,100.0,0.127,0.2,245,104.1,2000,8.0
1573.20,100.0,0.128,0.2,246,104.2,2000,8.0
1574.25,100.0,0.127,0.2,244,104.1,2000,8.0
1575.28,100.0,0.128,0.2,246,104.0,2000,8.0
1576.35,100.0,0.132,0.1,246,104.0,2000,8.0
1577.39,100.0,0.134,0.3,246,104.0,2000,8.0
1578.42,100.0,0.143,0.2,246,104.0,2000,8.0
1579.44,100.0,0.143,0.3,244,103.9,2000,8.0
1580.48,100.0,0.149,0.1,247,104.0,2000,8.0
1581.56,100.0,0.151,0.1,246,103.9,2000,8.0
1582.60,100.0,0.150,0.3,245,104.0,2000,8.0
1583.63,100.0,0.146,0.0,247,104.2,2000,8.0
1584.66,100.0,0.144,0.1,248,104.1,2000,8.0
1585.70,100.0,0.144,0.3,245,104.1,2000,8.0
1586.79,100.0,0.149,0.3,245,104.2,2000,8.0
1587.83,100.0,0.149,0.4,246,104.0,2000,8.0
1588.87,100.0,0.149,0.3,246,104.0,2000,8.0
1589.91,100.0,0.154,0.0,247,103.9,2000,8.0
1590.95,100.0,0.163,0.3,245,104.2,2000,8.0
1592.03,100.0,0.159,0.2,246,104.2,2000,8.0
1593.07,100.0,0.162,0.1,245,104.1,2000,8.0
1594.10,100.0,0.165,0.6,245,104.0,2000,8.0
1595.13,100.0,0.168,0.3,245,104.1,2000,8.0
1596.16,100.0,0.171,0.0,246,104.2,2000,8.0
1597.22,100.0,0.166,0.3,244,104.1,2000,8.0
1598.26,100.0,0.165,0.3,246,104.2,2000,8.0
1599.27,100.0,0.165,0.2,244,104.1,2000,8.0
1600.33,100.0,0.159,0.4,246,104.1,2000,8.0
1601.32,100.0,0.146,0.3,246,104.1,2000,8.0
1602.34,100.0,0.143,0.1,247,104.1,2000,8.0
1603.38,100.0,0.139,0.0,246,104.0,2000,8.0
1604.41,100.0,0.131,0.3,245,104.0,2000,8.0
1605.43,100.0,0.134,0.1,246,104.0,2000,8.0
1606.44,100.0,0.134,0.2,245,104.0,2000,8.0
1607.53,100.0,0.133,0.2,247,104.0,2000,8.0
1608.56,100.0,0.139,0.1,248,103.9,2000,8.0
1609.59,100.0,0.133,0.1,248,104.0,2000,8.0
1610.66,100.0,0.135,0.1,247,104.1,2000,8.0
1611.73,100.0,0.131,0.1,246,104.1,2000,8.0
